Longitude,Latitude,MODE
143.85849,-37.55866,REGIONAL BUS
143.84768,-37.55902,REGIONAL BUS
144.07472,-37.00984,REGIONAL BUS
144.20046,-37.06991,REGIONAL BUS
144.20793,-37.07219,REGIONAL BUS
144.21722,-37.06579,REGIONAL BUS
144.21409,-37.06294,REGIONAL BUS
144.30437,-36.77456,REGIONAL BUS
144.30085,-36.77702,REGIONAL BUS
144.30427,-36.77432,REGIONAL BUS
142.78222,-37.05514,REGIONAL BUS
142.77972,-37.05673,REGIONAL BUS
142.19851,-36.71419,REGIONAL BUS
142.2005,-36.71417,REGIONAL BUS
142.20627,-36.71338,REGIONAL BUS
142.20889,-36.71176,REGIONAL BUS
142.20213,-36.70897,REGIONAL BUS
142.19887,-36.70461,REGIONAL BUS
142.2016,-36.69907,REGIONAL BUS
142.2053,-36.69959,REGIONAL BUS
142.20506,-36.7011,REGIONAL BUS
142.2051,-36.70316,REGIONAL BUS
142.20744,-36.70434,REGIONAL BUS
142.21087,-36.70262,REGIONAL BUS
142.21018,-36.70169,REGIONAL BUS
142.20819,-36.70208,REGIONAL BUS
142.21021,-36.70394,REGIONAL BUS
142.20241,-36.71215,REGIONAL BUS
142.20243,-36.71475,REGIONAL BUS
142.19702,-36.7151,REGIONAL BUS
142.21207,-36.70997,REGIONAL BUS
142.21408,-36.70859,REGIONAL BUS
142.21532,-36.7075,REGIONAL BUS
142.21748,-36.70583,REGIONAL BUS
142.18878,-36.7027,REGIONAL BUS
142.18715,-36.70452,REGIONAL BUS
142.18805,-36.70614,REGIONAL BUS
142.18919,-36.70664,REGIONAL BUS
143.67234,-37.49003,REGIONAL BUS
142.19296,-36.7176,REGIONAL BUS
142.19297,-36.72162,REGIONAL BUS
142.1908,-36.72203,REGIONAL BUS
142.1864,-36.72048,REGIONAL BUS
142.18518,-36.72207,REGIONAL BUS
142.18332,-36.72275,REGIONAL BUS
142.18073,-36.72372,REGIONAL BUS
142.178,-36.72398,REGIONAL BUS
142.1771,-36.72452,REGIONAL BUS
142.17596,-36.72638,REGIONAL BUS
142.17448,-36.72795,REGIONAL BUS
142.17139,-36.72973,REGIONAL BUS
142.17008,-36.72845,REGIONAL BUS
142.17326,-36.72734,REGIONAL BUS
142.17435,-36.72624,REGIONAL BUS
142.17796,-36.72181,REGIONAL BUS
142.18032,-36.72093,REGIONAL BUS
142.18746,-36.70964,REGIONAL BUS
142.18928,-36.70909,REGIONAL BUS
142.19469,-36.7117,REGIONAL BUS
142.20551,-36.72755,REGIONAL BUS
142.2057,-36.73918,REGIONAL BUS
142.20506,-36.73121,REGIONAL BUS
142.20499,-36.72981,REGIONAL BUS
142.20487,-36.72741,REGIONAL BUS
142.20279,-36.72137,REGIONAL BUS
142.20769,-36.72604,REGIONAL BUS
142.21348,-36.7261,REGIONAL BUS
142.21274,-36.72298,REGIONAL BUS
142.21066,-36.72394,REGIONAL BUS
142.21029,-36.72685,REGIONAL BUS
142.20863,-36.72724,REGIONAL BUS
142.20692,-36.72809,REGIONAL BUS
142.20803,-36.73075,REGIONAL BUS
142.20597,-36.73304,REGIONAL BUS
142.19919,-36.72489,REGIONAL BUS
142.2021,-36.7261,REGIONAL BUS
142.02513,-37.74251,REGIONAL BUS
143.74199,-37.048,REGIONAL BUS
141.6029,-38.34622,REGIONAL BUS
141.60574,-38.34629,REGIONAL BUS
141.6066,-38.33933,REGIONAL BUS
141.60589,-38.33108,REGIONAL BUS
141.60375,-38.33108,REGIONAL BUS
141.60222,-38.32767,REGIONAL BUS
141.60046,-38.32731,REGIONAL BUS
141.59747,-38.32857,REGIONAL BUS
141.59748,-38.33027,REGIONAL BUS
141.59677,-38.33204,REGIONAL BUS
141.5936,-38.33202,REGIONAL BUS
141.59254,-38.33264,REGIONAL BUS
141.59239,-38.33577,REGIONAL BUS
141.59615,-38.34183,REGIONAL BUS
141.60058,-38.34195,REGIONAL BUS
141.60646,-38.34821,REGIONAL BUS
141.60602,-38.35128,REGIONAL BUS
141.60606,-38.35481,REGIONAL BUS
141.60438,-38.3598,REGIONAL BUS
141.60067,-38.35944,REGIONAL BUS
141.59683,-38.35925,REGIONAL BUS
141.59348,-38.36086,REGIONAL BUS
141.59346,-38.36458,REGIONAL BUS
141.59529,-38.36518,REGIONAL BUS
141.59663,-38.36674,REGIONAL BUS
141.60097,-38.36418,REGIONAL BUS
141.60431,-38.3639,REGIONAL BUS
141.6072,-38.3642,REGIONAL BUS
141.61157,-38.36465,REGIONAL BUS
141.61345,-38.36483,REGIONAL BUS
141.61736,-38.36149,REGIONAL BUS
141.6174,-38.36007,REGIONAL BUS
141.61812,-38.35929,REGIONAL BUS
141.61515,-38.35721,REGIONAL BUS
141.6009,-38.34746,REGIONAL BUS
142.4859,-38.38238,REGIONAL BUS
142.47424,-38.37951,REGIONAL BUS
142.47246,-38.37803,REGIONAL BUS
142.47396,-38.3747,REGIONAL BUS
142.47138,-38.37343,REGIONAL BUS
142.47395,-38.3744,REGIONAL BUS
142.47353,-38.37902,REGIONAL BUS
142.48602,-38.38228,REGIONAL BUS
142.48241,-38.38101,REGIONAL BUS
142.48516,-38.37636,REGIONAL BUS
142.48701,-38.37507,REGIONAL BUS
142.489,-38.3694,REGIONAL BUS
142.49569,-38.36403,REGIONAL BUS
142.50295,-38.37387,REGIONAL BUS
142.47414,-38.36463,REGIONAL BUS
142.48471,-38.36608,REGIONAL BUS
142.49707,-38.3623,REGIONAL BUS
142.50029,-38.36168,REGIONAL BUS
142.50322,-38.36198,REGIONAL BUS
142.5048,-38.36371,REGIONAL BUS
142.51176,-38.36803,REGIONAL BUS
142.51207,-38.38399,REGIONAL BUS
142.51519,-38.38224,REGIONAL BUS
142.49059,-38.37989,REGIONAL BUS
142.49666,-38.3766,REGIONAL BUS
142.49406,-38.37788,REGIONAL BUS
142.51463,-38.38365,REGIONAL BUS
142.52489,-38.3838,REGIONAL BUS
142.53188,-38.38479,REGIONAL BUS
142.52211,-38.3839,REGIONAL BUS
142.48021,-38.37678,REGIONAL BUS
142.46467,-38.36706,REGIONAL BUS
142.46817,-38.36913,REGIONAL BUS
142.47471,-38.37207,REGIONAL BUS
142.48378,-38.37641,REGIONAL BUS
142.47665,-38.36815,REGIONAL BUS
142.47485,-38.36755,REGIONAL BUS
