Longitude,Latitude,MODE
145.53039,-38.40696,REGIONAL BUS
145.53005,-38.40815,REGIONAL BUS
145.43333,-38.41447,REGIONAL BUS
145.35779,-38.5149,REGIONAL BUS
145.23907,-38.45905,REGIONAL BUS
145.23882,-38.45876,REGIONAL BUS
145.47592,-38.54946,REGIONAL BUS
145.47577,-38.54957,REGIONAL BUS
145.54657,-38.56347,REGIONAL BUS
145.54671,-38.56332,REGIONAL BUS
146.92433,-36.08424,REGIONAL BUS
145.22531,-36.44048,REGIONAL BUS
144.36037,-38.14723,REGIONAL BUS
143.71012,-38.725,REGIONAL BUS
143.67539,-38.74172,REGIONAL BUS
143.67533,-38.74168,REGIONAL BUS
143.66906,-38.75454,REGIONAL BUS
142.99378,-38.6192,REGIONAL BUS
142.87757,-38.607,REGIONAL BUS
142.87688,-38.60702,REGIONAL BUS
142.36251,-38.29166,REGIONAL BUS
142.36204,-38.29139,REGIONAL BUS
142.02827,-37.7466,REGIONAL BUS
142.74237,-37.54469,REGIONAL BUS
142.72294,-37.6904,REGIONAL BUS
142.72303,-37.6909,REGIONAL BUS
142.84048,-37.7124,REGIONAL BUS
143.68434,-37.64498,REGIONAL BUS
143.6845,-37.64503,REGIONAL BUS
148.00773,-37.87446,REGIONAL BUS
142.93691,-37.28244,REGIONAL BUS
142.85345,-37.1515,REGIONAL BUS
142.85482,-37.15194,REGIONAL BUS
142.77355,-37.05926,REGIONAL BUS
142.47023,-36.62012,REGIONAL BUS
142.63141,-36.63141,REGIONAL BUS
142.58738,-36.46029,REGIONAL BUS
142.39533,-36.25091,REGIONAL BUS
142.42104,-36.07674,REGIONAL BUS
142.42128,-36.0765,REGIONAL BUS
142.42091,-35.9394,REGIONAL BUS
142.36436,-35.72659,REGIONAL BUS
142.36467,-35.72697,REGIONAL BUS
142.20052,-36.71419,REGIONAL BUS
142.11833,-36.58469,REGIONAL BUS
142.11819,-36.58477,REGIONAL BUS
142.02664,-36.45363,REGIONAL BUS
141.64912,-36.33392,REGIONAL BUS
141.24084,-36.37883,REGIONAL BUS
142.31875,-35.06939,REGIONAL BUS
142.31904,-35.0696,REGIONAL BUS
145.59215,-38.59575,REGIONAL BUS
145.62116,-38.66748,REGIONAL BUS
145.62097,-38.66777,REGIONAL BUS
145.72968,-38.63461,REGIONAL BUS
145.56305,-38.37153,REGIONAL BUS
142.18757,-34.30723,REGIONAL BUS
142.16323,-34.18211,REGIONAL BUS
142.4248,-35.34531,REGIONAL BUS
142.42462,-35.34498,REGIONAL BUS
142.43884,-35.40194,REGIONAL BUS
142.43866,-35.40178,REGIONAL BUS
142.57926,-35.60788,REGIONAL BUS
142.57929,-35.60785,REGIONAL BUS
142.66443,-35.68247,REGIONAL BUS
142.6643,-35.68256,REGIONAL BUS
142.91791,-35.98127,REGIONAL BUS
142.98267,-36.37067,REGIONAL BUS
143.25862,-36.61529,REGIONAL BUS
143.73612,-37.04705,REGIONAL BUS
143.47388,-37.08902,REGIONAL BUS
143.4744,-37.08882,REGIONAL BUS
143.47125,-37.08086,REGIONAL BUS
145.45606,-38.06186,REGIONAL BUS
146.72497,-36.56129,REGIONAL BUS
146.72508,-36.56164,REGIONAL BUS
146.91142,-36.70015,REGIONAL BUS
146.96043,-36.72835,REGIONAL BUS
147.16099,-36.73799,REGIONAL BUS
142.8048,-38.08095,REGIONAL BUS
142.78557,-36.9161,REGIONAL BUS
142.78556,-36.81415,REGIONAL BUS
142.86976,-36.67136,REGIONAL BUS
142.86983,-36.67141,REGIONAL BUS
142.78564,-36.81413,REGIONAL BUS
142.78566,-36.91624,REGIONAL BUS
142.77945,-37.05152,REGIONAL BUS
142.78373,-37.0558,REGIONAL BUS
144.72855,-37.57912,REGIONAL BUS
144.59895,-37.4592,REGIONAL BUS
144.67936,-37.46455,REGIONAL BUS
144.74576,-37.48342,REGIONAL BUS
