venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
Limited licence,-37.77811,144.948,Metro,206041124,191.6,0-200m,1,high_access_0_400m,False
Limited licence,-38.17412,144.57083,Regional,203031048,110.4,0-200m,1,high_access_0_400m,False
Limited licence,-37.74206,145.12068,Metro,209011202,1786.4,800m+,4,low_access_800m_plus,False
Limited licence,-38.06483,145.13249,Metro,208031186,853.8,800m+,4,low_access_800m_plus,False
Limited licence,-38.126,145.68808,Metro,212011547,4858.7,800m+,4,low_access_800m_plus,False
Limited licence,-38.37558,142.51412,Regional,217041479,293.9,200-400m,2,high_access_0_400m,False
Limited licence,-36.75913,145.56309,Regional,204011055,1476.3,800m+,4,low_access_800m_plus,False
Limited licence,-36.75913,145.56309,Regional,204011055,1476.3,800m+,4,low_access_800m_plus,False
Limited licence,-38.15615,145.16962,Metro,214011374,55.0,0-200m,1,high_access_0_400m,False
Limited licence,-35.51006,142.85618,Regional,215031400,1063.5,800m+,4,low_access_800m_plus,False
Limited licence,-35.51006,142.85618,Regional,215031400,1063.5,800m+,4,low_access_800m_plus,False
Limited licence,-36.07993,144.85961,Regional,216021413,10726.1,800m+,4,low_access_800m_plus,False
Limited licence,-36.71432,144.25451,Regional,202011019,125.1,0-200m,1,high_access_0_400m,False
Limited licence,-35.90401,145.63202,Regional,216021411,1696.1,800m+,4,low_access_800m_plus,False
Limited licence,-38.17837,146.27118,Regional,205041095,509.4,400-800m,3,moderate_access_400_800m,False
Limited licence,-35.95068,144.37285,Regional,216011408,857.2,800m+,4,low_access_800m_plus,False
Limited licence,-35.95068,144.37285,Regional,216011408,857.2,800m+,4,low_access_800m_plus,False
Limited licence,-38.51251,145.32835,Regional,205031091,1393.1,800m+,4,low_access_800m_plus,False
Limited licence,-38.51251,145.32835,Regional,205031091,1393.1,800m+,4,low_access_800m_plus,False
Limited licence,-35.35015,143.56488,Regional,215031404,88.2,0-200m,1,high_access_0_400m,False
Producer,-38.29177,142.36547,Regional,217041478,321.8,200-400m,2,high_access_0_400m,False
Producer,-37.23399,144.45123,Regional,202021030,1165.7,800m+,4,low_access_800m_plus,False
Producer,-38.38311,145.01144,Metro,214021378,6416.7,800m+,4,low_access_800m_plus,False
Producer,-37.80459,147.85701,Regional,205021084,2450.5,800m+,4,low_access_800m_plus,False
