sa2_code,sa2_name,region_type,active_venues_2023,active_venues_2025,venues_within_400m_pt_2023,total_venues_2023,access_rate_pct,venue_growth_rate_pct
216031418,Shepparton Surrounds - East,Regional,17,17,3,17,17.6,0.0
216031419,Shepparton Surrounds - West,Regional,37,39,14,37,37.8,5.4
217011423,Southern Grampians,Regional,43,43,16,43,37.2,0.0
215011391,St Arnaud,Regional,18,18,12,18,66.7,0.0
215011392,Stawell,Regional,63,59,44,63,69.8,-6.3
202011024,Strathfieldsaye,Regional,13,13,8,13,61.5,0.0
215031404,Swan Hill,Regional,61,54,58,61,95.1,-11.5
215031405,Swan Hill Surrounds,Regional,36,32,13,36,36.1,-11.1
213041360,Taylors Hill,Regional,11,12,11,11,100.0,9.1
203031053,Torquay,Regional,100,99,82,100,82.0,-1.0
204031072,Towong,Regional,45,42,18,45,40.0,-6.7
205011078,Trafalgar (Vic.),Regional,34,29,20,34,58.8,-14.7
205041493,Traralgon - East,Regional,71,74,70,71,98.6,4.2
205041494,Traralgon - West,Regional,18,18,16,18,88.9,0.0
209041224,Wallan,Regional,22,24,17,22,77.3,9.1
204021066,Wangaratta,Regional,66,66,60,66,90.9,0.0
204021067,Wangaratta Surrounds,Regional,97,93,35,97,36.1,-4.1
205011079,Warragul,Regional,74,69,56,74,75.7,-6.8
217041479,Warrnambool - North,Regional,31,28,22,31,71.0,-9.7
217041480,Warrnambool - South,Regional,102,98,97,102,95.1,-3.9
201011008,Wendouree - Miners Rest,Regional,28,28,21,28,75.0,0.0
215011393,West Wimmera,Regional,20,21,8,20,40.0,5.0
204031073,West Wodonga,Regional,18,17,16,18,88.9,-5.6
202011025,White Hills - Ascot,Regional,21,23,14,21,66.7,9.5
203011036,Winchelsea,Regional,38,39,1,38,2.6,2.6
204031492,Wodonga,Regional,62,60,57,62,91.9,-3.2
205031093,Wonthaggi - Inverloch,Regional,105,104,78,105,74.3,-1.0
202021031,Woodend,Regional,44,41,26,44,59.1,-6.8
204031075,Yackandandah,Regional,21,21,10,21,47.6,0.0
205041098,Yallourn North - Glengarry,Regional,16,15,12,16,75.0,-6.2
205051104,Yarram,Regional,31,33,14,31,45.2,6.5
216021414,Yarrawonga,Regional,35,32,17,35,48.6,-8.6
215011394,Yarriambiack,Regional,46,46,24,46,52.2,0.0
204011062,Yea,Regional,38,31,19,38,50.0,-18.4
